,Index_Link,Legal_Name,Town/Suburb,State,Status,Size,ABN,Website,Revenue,Cause/s
129,https://www.acnc.gov.au/charity/charities/1fec1843-39af-e811-a963-000d3ad24077/profile,Wat Lao Buddha Metta Buddhist Society Of NSW Incorporated,St Johns Park,NSW,Registered,Small,47495712147,,,
130,https://www.acnc.gov.au/charity/charities/741e1149-39af-e811-a963-000d3ad24077/profile,Rotary Club Of Eltham Charitable Trust Fund,Eltham,VIC,Registered,Small,18286510589,,,
131,https://www.acnc.gov.au/charity/charities/81161149-39af-e811-a963-000d3ad24077/profile,The Trustee For Sinai College Building Fund,Burbank,QLD,Registered,Small,52423049024,,,
132,https://www.acnc.gov.au/charity/charities/b3201149-39af-e811-a963-000d3ad24077/profile,The Corporation Of The Diocesan Synod Of North Queensland,Townsville,QLD,Registered,Small,62731183075,,,
133,https://www.acnc.gov.au/charity/charities/d5131149-39af-e811-a963-000d3ad24077/profile,Grace Church Shellharbour City Incorporated,Shellharbour City Centre,NSW,Registered,Small,52357178657,,,
134,https://www.acnc.gov.au/charity/charities/70171149-39af-e811-a963-000d3ad24077/profile,The Trustee For Hazel Peat Perpetual Charitable Trust,Melbourne,VIC,Registered,Small,42071663133,,,
135,https://www.acnc.gov.au/charity/charities/661c1149-39af-e811-a963-000d3ad24077/profile,Brisbane Suhrim Church Inc.,Kenmore,QLD,Registered,Small,52578484417,,,
136,https://www.acnc.gov.au/charity/charities/8e221149-39af-e811-a963-000d3ad24077/profile,Assembly Of God Church Lithgow,Unavailable,Unavailable,Registered,Small,62686851414,,,
137,https://www.acnc.gov.au/charity/charities/41131149-39af-e811-a963-000d3ad24077/profile,UCA - Wangi Wangi,Unavailable,NSW,Registered,Small,52354087573,,,
138,https://www.acnc.gov.au/charity/charities/db131149-39af-e811-a963-000d3ad24077/profile,New Life Christian Church,Grafton,NSW,Registered,Small,52373048863,,,
139,https://www.acnc.gov.au/charity/charities/b5151149-39af-e811-a963-000d3ad24077/profile,The Corporation Of The Diocesan Synod Of North Queensland,Townsville,QLD,Registered,Small,42070075392,,,
140,https://www.acnc.gov.au/charity/charities/f51b1149-39af-e811-a963-000d3ad24077/profile,Trustees Of The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For The Catholic Parish Of Michelago,Michelago,NSW,Registered,Small,52654163057,,,
141,https://www.acnc.gov.au/charity/charities/091b1149-39af-e811-a963-000d3ad24077/profile,Anglican Trusts Corporation Of The Diocese Of Gippsland,Lakes Entrance,VIC,Registered,Small,67499776752,,,
142,https://www.acnc.gov.au/charity/charities/1c211149-39af-e811-a963-000d3ad24077/profile,The Trustee Of Joseph Banks Timperon Prize,Adelaide,SA,Registered,Small,62710092527,,,
143,https://www.acnc.gov.au/charity/charities/0df81843-39af-e811-a963-000d3ad24077/profile,Newcastle Korean Presbyterian Church Inc,Wallsend,NSW,Registered,Small,36387659971,,,
144,https://www.acnc.gov.au/charity/charities/6f151149-39af-e811-a963-000d3ad24077/profile,Speld Foundation Of South Australia,Frewville,SA,Registered,Small,52420780937,,,
145,https://www.acnc.gov.au/charity/charities/4e4e387a-39af-e811-a963-000d3ad24077/profile,Port Kembla Baptist Church,Port Kembla,NSW,Registered,Small,42776141776,,,
146,https://www.acnc.gov.au/charity/charities/42632e80-39af-e811-a963-000d3ad24077/profile,Returned Services League Of Australia Blackall Sub Branch,Blackall,QLD,Registered,Small,31291918343,,,
147,https://www.acnc.gov.au/charity/charities/5cea2786-39af-e811-a963-000d3ad24077/profile,The Noel & Ivy Wales Evangelistic Trust,North Sydney,NSW,Registered,Small,93400210879,,,
